dept,number,prof,year,semester,section,A,B,C,D,F,I,S,U,Q,X,gpa
CSCE,111,HURLEY J,2016,FALL,2012,46,49,29,4,1,0,0,0,12,0,3.047
CSCE,111,HURLEY J,2016,SPRING,1506,28,36,7,3,4,0,0,0,8,0,3.038
CSCE,111,KUMAR S,2022,FALL,4028,78,57,12,8,3,0,0,0,30,0,3.259
CSCE,111,LIGHTFOOT R,2018,FALL,1003,68,14,5,4,0,0,0,0,4,0,3.604
CSCE,111,LIGHTFOOT R,2018,SPRING,1007,40,16,15,1,4,1,0,0,4,0,3.145
CSCE,111,LIGHTFOOT R,2019,FALL,2012,117,43,18,3,8,0,0,0,4,0,3.365
CSCE,111,LIGHTFOOT R,2019,SPRING,1003,67,18,7,5,1,0,0,0,1,0,3.48
CSCE,111,LIGHTFOOT R,2020,FALL,2012,92,24,14,1,13,1,0,0,10,0,3.257
CSCE,111,LIGHTFOOT R,2020,SPRING,1003,61,18,7,3,1,0,0,0,1,0,3.5
CSCE,111,LIGHTFOOT R,2021,FALL,4036,128,13,16,2,14,0,0,0,14,0,3.382
CSCE,111,LIGHTFOOT R,2021,SPRING,1003,80,1,0,0,3,0,0,0,6,0,3.845
CSCE,111,LIGHTFOOT R,2022,SPRING,1001,78,7,4,0,0,0,0,0,9,0,3.831
CSCE,111,LIGHTFOOT R,2023,FALL,4028,131,23,10,5,12,0,0,0,8,0,3.414
CSCE,111,LIGHTFOOT R,2023,SPRING,2006,74,7,6,0,0,0,0,0,7,0,3.782
CSCE,111,LIGHTFOOT R,2024,SPRING,4028,102,6,7,5,18,9,0,0,17,0,3.225
CSCE,111,SHEEHY J,2016,SPRING,1009,41,8,1,4,1,1,0,0,7,0,3.527
CSCE,120,BEIDEMAN C,2023,FALL,3015,156,19,8,3,5,0,0,0,5,0,3.665
CSCE,120,BEIDEMAN C,2024,SPRING,2070,53,16,7,2,5,0,0,0,11,0,3.325
CSCE,120,CARLISLE M,2021,FALL,706,7,2,1,0,0,0,0,0,1,0,3.6
CSCE,120,CHAMON C,2022,FALL,2006,16,3,4,0,2,3,0,0,3,0,3.24
CSCE,120,CHAMON C,2023,FALL,4764,112,42,8,1,4,2,0,0,9,0,3.539
CSCE,120,CHAMON C,2023,SPRING,4028,148,15,8,0,3,0,0,0,17,0,3.753
CSCE,120,CHAMON C,2023,SUMMER,1001,14,10,4,1,2,0,0,0,1,0,3.065
CSCE,120,CHAMON C,2024,SPRING,4092,122,28,5,6,3,0,0,0,19,0,3.585
CSCE,120,DUYSAK A,2022,FALL,550,8,3,0,0,0,0,0,0,5,0,3.727
CSCE,120,DUYSAK A,2023,FALL,550,10,3,1,1,1,0,0,0,0,0,3.25
CSCE,120,DUYSAK A,2023,SPRING,550,4,1,2,0,2,0,0,0,3,0,2.556
CSCE,120,DUYSAK A,2024,SPRING,550,9,2,1,0,0,0,0,0,0,0,3.667
CSCE,120,HOUNGNINOU D,2022,SUMMER,301,2,2,1,1,0,0,0,0,0,0,2.833
CSCE,120,HUANG Q,2021,FALL,1035,6,2,3,1,0,0,0,0,0,0,3.083
CSCE,120,LUPOLI S,2024,SPRING,2390,30,25,5,2,8,1,0,0,9,0,2.957
CSCE,120,MAHMOOD M,2024,SPRING,200,21,0,1,0,0,0,0,0,1,0,3.909
CSCE,120,MCGUIRE T,2022,FALL,7110,72,32,13,4,4,0,0,0,16,0,3.312
CSCE,120,MOORE J,2021,FALL,593,2,2,2,0,0,0,0,0,0,0,3.0
CSCE,120,MOORE J,2022,FALL,599,16,9,3,0,2,6,0,0,9,0,3.233
CSCE,120,MOORE J,2022,SPRING,3579,17,12,7,4,4,0,0,0,15,0,2.773
CSCE,120,MOORE J,2022,SUMMER,1401,10,4,3,0,1,0,0,0,1,0,3.222
CSCE,120,MOORE J,2023,FALL,403,41,6,3,0,0,0,0,0,0,0,3.76
CSCE,120,MOORE J,2023,SPRING,898,24,10,5,3,4,1,0,0,2,0,3.022
CSCE,120,MOORE J,2024,SPRING,3528,57,28,10,6,5,0,0,0,12,0,3.189
CSCE,120,MUZAHID A,2023,FALL,2030,40,13,12,6,3,1,0,0,3,0,3.095
CSCE,120,RITCHEY P,2021,FALL,501,2,1,2,0,0,0,0,0,1,0,3.0
CSCE,120,TAELE P,2021,FALL,521,3,2,0,0,0,0,0,0,0,0,3.6
CSCE,120,TAELE P,2022,SPRING,1021,2,4,3,0,1,0,0,0,0,0,2.6
CSCE,121,BEIDEMAN C,2024,SPRING,2038,25,35,13,7,3,0,0,0,13,0,2.867
CSCE,121,CARLISLE M,2021,FALL,1721,50,23,12,5,6,0,0,0,12,0,3.104
CSCE,121,CHAMON C,2022,FALL,2126,37,11,4,1,2,3,0,0,8,0,3.455
CSCE,121,CHAMON C,2023,SUMMER,301,3,2,2,1,0,0,0,0,1,0,2.875
CSCE,121,DA SILVA D,2019,FALL,2090,37,25,8,4,0,0,0,0,20,0,3.284
CSCE,121,DA SILVA D,2020,FALL,2038,52,16,9,0,0,0,0,0,10,0,3.558
CSCE,121,DANG D,2017,FALL,2042,34,27,10,4,2,0,0,0,8,0,3.13
CSCE,121,DAUGHERITY W,2012,FALL,4545,56,53,26,3,21,1,0,0,14,0,2.755
CSCE,121,DAUGHERITY W,2012,SPRING,2515,57,22,11,3,2,1,0,0,5,0,3.358
CSCE,121,DAUGHERITY W,2012,SUMMER,100,11,2,1,0,1,0,0,0,1,0,3.467
CSCE,121,DAUGHERITY W,2013,FALL,2515,30,43,15,6,2,0,0,0,11,0,2.969
CSCE,121,DAUGHERITY W,2013,SPRING,5055,52,53,37,11,27,0,0,0,24,0,2.511
CSCE,121,DAUGHERITY W,2014,FALL,6591,121,114,46,9,13,2,0,0,32,0,3.059
CSCE,121,DAUGHERITY W,2014,SPRING,2515,33,50,20,8,1,0,0,0,8,0,2.946
CSCE,121,DAUGHERITY W,2014,SUMMER,100,29,5,3,1,0,0,0,0,0,0,3.632
CSCE,121,DAUGHERITY W,2015,FALL,5843,72,112,64,13,10,0,0,0,16,0,2.823
CSCE,121,DAUGHERITY W,2015,SPRING,4036,54,75,31,9,6,0,0,0,6,0,2.926
CSCE,121,DAUGHERITY W,2015,SUMMER,201,14,22,10,3,2,1,0,0,3,0,2.843
CSCE,121,DAUGHERITY W,2016,FALL,3069,28,62,35,6,2,0,0,0,9,0,2.812
CSCE,121,DAUGHERITY W,2016,SPRING,4238,51,72,42,10,9,0,0,0,11,0,2.793
CSCE,121,DAUGHERITY W,2016,SUMMER,101,8,10,7,2,0,1,0,0,0,0,2.889
CSCE,121,DAUGHERITY W,2017,FALL,4132,62,88,27,10,1,0,0,0,4,0,3.064
CSCE,121,DAUGHERITY W,2017,SPRING,2058,31,34,21,4,2,0,0,0,3,0,2.957
CSCE,121,DAUGHERITY W,2017,SUMMER,101,13,7,7,1,1,1,0,0,3,0,3.034
CSCE,121,DUYSAK A,2022,FALL,2326,46,19,5,6,1,0,0,0,16,0,3.338
CSCE,121,FERREIRA C,2019,FALL,2042,25,25,20,7,1,0,0,0,12,0,2.846
CSCE,121,GARZA E,2018,FALL,1590,23,27,10,6,3,0,0,0,19,0,2.884
CSCE,121,HOLANDA M,2023,FALL,5555,99,68,45,21,22,1,0,0,30,0,2.788
CSCE,121,HOLANDA M,2023,SPRING,4536,97,69,38,20,19,0,0,0,45,0,2.844
CSCE,121,HOUNGNINOU D,2022,SUMMER,300,8,10,5,4,7,0,0,0,1,3,2.235
CSCE,121,HUANG Q,2021,FALL,2074,25,20,12,6,2,0,0,0,12,0,2.923
CSCE,121,HUANG Q,2022,FALL,3066,104,35,22,5,0,2,0,0,24,0,3.434
CSCE,121,HUANG Q,2023,SPRING,2042,33,14,6,16,1,0,0,0,19,0,2.886
CSCE,121,HUANG Q,2024,SPRING,4028,65,44,24,16,9,0,0,0,20,0,2.886
CSCE,121,HURLEY J,2013,SUMMER,300,10,5,7,3,0,0,0,0,0,0,2.88
CSCE,121,IOERGER T,2019,FALL,201,18,4,0,0,0,0,0,0,2,0,3.818
CSCE,121,JAIN A,2021,SPRING,2010,42,16,2,0,6,0,0,0,14,0,3.333
CSCE,121,KEYSER J,2014,SPRING,1521,15,9,6,6,6,0,0,0,9,0,2.5
CSCE,121,KEYSER J,2015,SPRING,200,10,2,1,0,0,1,0,0,1,0,3.692
CSCE,121,LEE H,2012,SPRING,2030,33,17,18,5,7,0,0,0,6,0,2.8
CSCE,121,LEYK T,2018,FALL,6078,113,105,56,5,0,0,0,0,17,0,3.168
CSCE,121,LEYK T,2019,FALL,4260,95,62,23,3,1,0,0,0,8,0,3.342
CSCE,121,LIGHTFOOT R,2020,SUMMER,398,44,14,11,5,4,0,0,0,2,0,3.141
CSCE,121,LIGHTFOOT R,2021,SUMMER,300,31,12,10,4,2,4,0,0,7,0,3.119
CSCE,121,LUPOLI S,2021,SPRING,6126,62,39,24,12,14,0,0,0,78,0,2.815
CSCE,121,MAHMOOD M,2023,FALL,4116,67,54,27,6,11,2,0,0,19,0,2.97
CSCE,121,MCGUIRE T,2020,SPRING,4132,56,54,22,8,14,0,0,0,5,0,2.844
CSCE,121,MCGUIRE T,2021,FALL,4100,43,37,17,15,17,1,0,0,33,0,2.574
CSCE,121,MCGUIRE T,2022,FALL,7074,48,29,14,2,4,1,0,0,38,0,3.186
CSCE,121,MOORE J,2015,FALL,5627,72,83,42,12,8,0,0,0,31,0,2.917
CSCE,121,MOORE J,2015,SPRING,2042,12,18,13,9,8,0,0,0,23,0,2.283
CSCE,121,MOORE J,2016,FALL,2523,57,47,19,6,9,0,0,0,47,0,2.993
CSCE,121,MOORE J,2016,SPRING,1022,40,55,27,18,13,0,0,0,32,0,2.595
CSCE,121,MOORE J,2016,SUMMER,700,18,12,4,5,9,1,0,0,6,0,2.521
CSCE,121,MOORE J,2017,FALL,4036,70,47,27,18,7,0,0,0,24,0,2.917
CSCE,121,MOORE J,2017,SPRING,2547,47,47,17,4,6,0,0,0,12,0,3.033
CSCE,121,MOORE J,2017,SUMMER,700,13,25,9,4,5,0,0,0,12,0,2.661
CSCE,121,MOORE J,2018,FALL,6238,96,94,33,13,17,0,0,0,41,0,2.945
CSCE,121,MOORE J,2018,SPRING,4132,59,41,28,13,8,0,0,0,44,0,2.872
CSCE,121,MOORE J,2018,SUMMER,700,19,7,9,9,6,1,0,0,7,0,2.48
CSCE,121,MOORE J,2019,FALL,4036,54,52,35,15,8,0,0,0,27,0,2.787
CSCE,121,MOORE J,2019,SPRING,4132,84,41,26,13,2,0,0,0,23,0,3.157
CSCE,121,MOORE J,2019,SUMMER,1401,32,14,7,1,7,18,0,0,11,2,3.033
CSCE,121,MOORE J,2020,FALL,1788,117,64,18,5,13,0,0,0,21,0,3.23
CSCE,121,MOORE J,2020,SPRING,4036,64,48,12,22,19,0,0,0,3,0,2.703
CSCE,121,MOORE J,2020,SUMMER,399,28,25,15,2,7,0,0,0,6,0,2.844
CSCE,121,MOORE J,2021,FALL,3561,35,42,18,14,15,0,0,0,47,0,2.548
CSCE,121,MOORE J,2021,SPRING,1183,77,20,12,6,10,7,0,0,35,0,3.184
CSCE,121,MOORE J,2021,SUMMER,700,20,13,10,12,14,4,0,0,5,0,2.188
CSCE,121,MOORE J,2022,FALL,2390,75,25,10,4,2,10,0,0,19,0,3.44
CSCE,121,MOORE J,2022,SPRING,5346,33,42,35,22,32,0,0,0,40,22,2.134
CSCE,121,MOORE J,2022,SUMMER,1401,24,17,12,7,5,0,0,0,3,0,2.738
CSCE,121,MOORE J,2023,SPRING,2985,43,35,18,4,8,11,0,0,23,0,2.935
CSCE,121,MOORE J,2023,SUMMER,700,26,21,11,2,6,1,0,0,9,1,2.894
CSCE,121,NEMEC A,2021,SPRING,2090,33,19,4,1,6,0,0,0,15,0,3.143
CSCE,121,NOWAK M,2017,FALL,2106,15,34,20,5,1,0,0,0,19,0,2.76
CSCE,121,NOWAK M,2017,SPRING,2010,24,21,17,9,8,0,0,0,15,0,2.557
CSCE,121,NOWAK M,2018,FALL,2090,31,29,15,6,0,0,0,0,18,0,3.049
CSCE,121,NOWAK M,2018,SPRING,2042,27,21,25,4,3,0,0,0,17,0,2.812
CSCE,121,NOWAK M,2019,FALL,2106,34,25,6,3,1,0,0,0,24,0,3.275
CSCE,121,NOWAK M,2019,SPRING,2090,48,17,12,10,1,0,0,0,12,0,3.148
CSCE,121,POLSLEY S,2021,SPRING,2106,39,15,8,3,2,0,0,0,12,0,3.284
CSCE,121,QUINN M,2016,FALL,2042,25,27,16,4,4,0,0,0,16,0,2.855
CSCE,121,QUINN M,2017,FALL,700,15,8,9,8,0,0,0,0,8,0,2.75
CSCE,121,QUINN M,2017,SPRING,1554,35,21,8,1,0,0,0,0,11,0,3.385
CSCE,121,RITCHEY P,2019,FALL,4132,47,57,30,12,10,0,0,0,34,0,2.763
CSCE,121,RITCHEY P,2019,SPRING,4068,87,36,29,10,8,0,0,0,24,0,3.082
CSCE,121,RITCHEY P,2020,FALL,6114,133,50,19,3,5,0,0,0,23,0,3.443
CSCE,121,RITCHEY P,2020,SPRING,4196,68,46,17,12,16,0,0,0,3,0,2.868
CSCE,121,RITCHEY P,2021,FALL,3015,49,44,22,13,16,0,0,0,24,0,2.674
CSCE,121,RITCHEY P,2022,SPRING,1776,27,19,13,10,11,0,0,0,15,0,2.513
CSCE,121,SHELL D,2018,SPRING,4036,33,53,14,9,11,2,0,0,69,0,2.733
CSCE,121,SHELL D,2019,SPRING,2010,24,25,10,4,4,0,0,0,31,0,2.91
CSCE,121,SOTO C,2016,FALL,517,28,25,15,2,6,0,0,0,13,0,2.882
CSCE,121,STROUSTRUP B,2013,FALL,2540,35,39,18,6,5,1,0,0,12,0,2.903
CSCE,121,TAELE P,2020,FALL,4124,91,38,18,3,1,0,0,0,16,0,3.424
CSCE,121,TAELE P,2021,FALL,2090,34,16,13,4,2,0,0,0,9,0,3.101
CSCE,121,TAELE P,2021,SPRING,2074,47,10,11,1,1,0,0,0,19,0,3.443
CSCE,121,TAELE P,2022,SPRING,4108,98,37,11,5,3,1,0,0,14,0,3.442
CSCE,121,TAYLOR B,2022,SPRING,3542,54,55,31,19,6,1,0,0,26,0,2.8
CSCE,121,WELCH J,2012,FALL,200,11,2,0,0,0,0,0,0,1,0,3.846
CSCE,121,WELCH J,2013,FALL,200,14,2,0,0,0,0,0,0,1,0,3.875
CSCE,121,WELCH J,2014,FALL,200,16,2,0,0,1,2,0,0,3,0,3.684
CSCE,121,WELCH J,2015,FALL,200,17,4,2,0,0,0,0,0,2,0,3.652
CSCE,121,WELCH J,2016,FALL,200,20,4,1,0,0,0,0,0,0,0,3.76
CSCE,121,WELCH J,2017,FALL,200,22,0,2,0,0,1,0,0,2,0,3.833
CSCE,121,ZHANG Y,2020,SPRING,2042,27,25,10,6,10,0,0,0,0,0,2.679
CSCE,181,CHOE Y,2012,SPRING,900,80,0,0,0,16,0,0,0,5,0,3.333
CSCE,181,DEWITTE P,2024,SPRING,599,196,11,1,0,2,0,0,0,2,0,3.9
CSCE,181,IOERGER T,2013,FALL,500,115,12,0,0,1,1,0,0,1,0,3.875
CSCE,181,IOERGER T,2014,SPRING,500,100,8,3,0,2,0,0,0,2,0,3.805
CSCE,181,KEYSER J,2019,FALL,500,231,1,5,0,1,0,0,0,0,0,3.937
CSCE,181,KEYSER J,2020,FALL,500,346,11,4,0,5,0,0,0,3,0,3.893
CSCE,181,KEYSER J,2020,SPRING,500,130,3,2,1,0,0,0,0,0,0,3.926
